node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.6912406643113537,0.4778136559976015,3,1,3,17,0.010705153585172896,0.16118152479096545,6.5,2.0
1,0.0978528932221941,0.00957518871195412,0,2,3,1,0.8174405858680441,0.2575483322784766,0.5,4.0
2,0.23941414383773935,0.057319132269557746,3,1,3,2,-0.4634428327960324,0.7682137700070015,13.5,2.0
3,1.0,1.0,-1,0,3,26,0.030898874905387647,0.5579375624117442,37.5,0.0
4,0.6771709003780438,0.45856042831881055,3,1,3,17,0.6220216118685549,-0.1416336629021128,22.0,2.0
5,0.3090184096570643,0.0954923775069812,3,1,3,4,0.918033908753413,0.11394136261974652,31.0,2.0
6,0.3648079968898716,0.13308487459480056,4,2,3,13,0.09094071541837441,0.6485244487914638,17.0,4.0
7,0.2843796056769026,0.08087176012495063,3,1,3,8,-0.8843519806715819,-0.5094186194600034,33.0,2.0
8,0.29337465128903806,0.08606868601896468,0,2,3,7,-0.8926813379303072,0.514884487474541,3.0,4.0
9,0.447980103919595,0.20068617350781112,3,1,3,14,0.5657844700721536,0.6185193253522493,39.5,2.0
10,0.36542138528606155,0.13353278882438424,3,1,3,8,0.8681211276725487,0.5278700668819208,46.5,2.0
11,0.2693867436926593,0.07256921767733451,3,1,3,6,-0.30764271131171544,0.8803138724700903,48.5,2.0
12,0.28013772657210295,0.07847714584898631,3,1,3,6,-0.9443572063630549,0.24668009417509376,49.5,2.0
13,0.19289574703873247,0.03720876922563066,0,2,3,7,-0.6539458068523115,0.7894163188659802,5.5,4.0
14,0.19900101486062285,0.03960140391555784,9,2,3,9,0.10320350753397417,0.012400025125578454,35.5,4.0
15,0.20309987573587654,0.04124955952392849,3,1,3,3,-0.5218787546243312,0.8060578979436404,50.5,2.0
16,0.09201616660863111,0.00846697491734736,8,3,3,4,-0.8332430153241908,0.13902380846733992,1.5,6.0
17,0.24396766093601588,0.05952021958259081,3,1,3,6,-1.0,0.08027117300129887,52.0,2.0
18,0.25986530930996765,0.06752997898276517,3,1,3,8,0.22358293841201726,0.7211478606872485,54.5,2.0
19,0.13507210749997883,0.01824447422448584,8,3,3,9,0.8745040630282873,0.4598266371968918,3.0,6.0
20,0.2951701132752591,0.08712539577092929,3,1,3,8,-0.16800803550722584,-0.10296950065710776,59.0,2.0
21,0.1288212050262506,0.016594902864415294,0,2,3,3,0.35148558551409004,-0.9234666647522246,6.5,4.0
22,0.14421390361161304,0.02079764999489962,4,2,3,4,0.504898450469901,0.7594876287743174,20.5,4.0
23,0.20981177832731976,0.044020982324872365,0,2,3,4,-0.5963267184674728,-0.792257421219636,7.5,4.0
24,0.08369052441921321,0.007004103877562922,17,2,3,5,-0.4928392266826031,-0.42114672064071085,51.5,4.0
25,0.10739858592946992,0.011534456259649734,9,2,3,3,-0.2582794869667642,0.3012944975316662,37.5,4.0
26,0.10843990863194931,0.011759213784105516,6,3,3,5,0.8787064129171365,-0.5422860118616499,14.5,6.0
27,0.15358754566343505,0.023589134182917745,0,2,3,7,-0.7835198856805895,-0.5910171941469946,8.5,4.0
28,0.28337158120970185,0.08029945303728665,3,1,3,5,0.3661595476479743,-0.8405444449477412,62.5,2.0
29,0.16126951747471968,0.026007857266528916,0,2,3,2,-0.30498769196835984,-0.8611551814728549,9.5,4.0
30,0.0790604310821696,0.00625055176289849,6,3,3,3,-0.7299438552947313,-0.6947074440852895,15.5,6.0
31,0.05852890372982507,0.003425632571815131,18,2,3,2,0.17456698755383887,-0.9413977111185445,53.5,4.0
32,0.13611829314300722,0.018528189728165646,4,2,3,2,-0.9209501338092928,-0.22750999145739392,21.5,4.0
33,0.2627269376738835,0.06902544377949667,3,1,3,3,0.6932885921217573,-0.7140309659046392,63.5,2.0
34,0.13739164276762783,0.01887646350238746,4,2,3,2,0.7625613140656731,-0.6438491531780549,22.5,4.0
35,0.06524424403941882,0.0042568113802752385,20,2,3,3,0.98040610070508,-0.09440182277903046,56.5,4.0
36,0.1995027899738805,0.03980136320736227,4,2,3,6,0.985737508581491,0.032569607500614,24.0,4.0
37,0.07997137296188787,0.006395420493409371,10,2,3,2,0.473621382993186,-0.8808245699347765,45.5,4.0
38,0.17105819237551836,0.02926090517877985,4,2,3,3,-0.4391765296797943,-0.8724657662488888,25.5,4.0
39,0.1180597244748696,0.013938098543082126,6,3,3,4,-0.3816223861831304,-0.8893932096195905,16.5,6.0
40,0.04700637524122053,0.0022095993133184307,14,3,3,3,-0.7812774748790255,-0.40862000340531546,34.5,6.0
41,0.1657764616040319,0.02748183522195306,3,1,3,2,-0.9497384889792363,0.31107969913797984,64.5,2.0
42,0.06909121390593256,0.004773595838995329,20,2,3,2,-0.20995115335884493,-0.8751489191256352,57.5,4.0
43,0.09072318751872921,0.008230696753558503,9,2,3,2,-0.13684935311845411,-0.9547336751747187,38.5,4.0
44,0.24860053724410683,0.06180222711805854,3,1,3,3,0.17870193145566748,0.9612676802283463,65.5,2.0
45,0.14615155368871732,0.021360276645626022,0,2,3,4,-0.6948481427744905,0.6044048662338151,10.5,4.0
46,0.1268821101641632,0.016099069879710846,5,2,3,6,-0.8371539799561277,0.4140153866885232,31.0,4.0
47,0.08465554115772872,0.007166560648707901,7,2,3,3,-0.6508989785809052,-0.707195621369398,32.5,4.0
48,0.1339958848288862,0.01795489715107613,4,2,3,2,0.09180770495406478,-0.9872621510839209,26.5,4.0
49,0.1659257549269687,0.02753135614808448,3,1,3,3,0.571099291051767,-0.8504612828969575,66.5,2.0
50,0.04893126113007153,0.002394268315779249,36,3,3,2,0.6288393826728128,-0.6778688914578576,23.5,6.0
51,0.04863419391638283,0.002365284817896329,18,2,3,2,0.4863192236523497,0.8800326884696267,54.5,4.0
52,0.03064833694047888,0.0009393205572171224,19,4,3,3,-0.8990191166030121,0.1672122800728189,2.5,8.0
53,0.07991937519342536,0.006387106531307493,20,2,3,2,0.5007408949182649,0.6686697810640873,58.5,4.0
54,0.0692923903807065,0.004801435364672227,18,2,3,3,-0.36931178089393707,0.9421933387647516,55.5,4.0
55,0.02652179960335449,0.0007034058542004943,39,4,3,2,-0.047908675312557575,0.9508630057975741,16.5,8.0
56,0.10345674184698356,0.0107032974335934,6,3,3,3,0.7186241388461803,-0.5758099030283392,17.5,6.0
57,0.04009366725590391,0.0016075021540271413,19,4,3,3,0.8998386866889895,-0.2558148410917,3.5,8.0
58,0.17875320406609543,0.031952707963895155,3,1,3,2,0.9425323691672588,0.16695546777132103,67.5,2.0
59,0.08137821436924768,0.006622413773927229,9,2,3,2,0.7496376077706656,0.6154208407052223,39.5,4.0
60,0.016185952270717948,0.0002619850509099595,24,3,3,2,0.716939315245094,0.5255066086452244,51.5,6.0
61,0.0939806990458873,0.00883237179315364,6,3,3,3,0.9296901890737681,0.33345430364964485,18.5,6.0
62,0.15827393221307978,0.025050637618190572,3,1,3,2,-0.7616295590797799,0.44165333895741055,68.5,2.0
63,0.12316772336675469,0.01517028807934941,4,2,3,2,-0.9619836266271918,-0.31173625652578457,27.5,4.0
64,0.10353105999854821,0.01071868038442299,9,2,3,2,0.47762348404012617,-0.7737394718410436,40.5,4.0
65,0.13238926072585802,0.017526916355539213,0,2,3,2,0.003252286366848559,-0.8009155785479382,11.5,4.0
66,0.04126778800691787,0.0017030303269839142,36,3,3,2,-0.8953043967926251,-0.39185342419082425,24.5,6.0
67,0.045230702785038754,0.0020458164744285123,49,2,3,2,-0.061245873370545184,0.835152834470814,66.5,4.0
68,0.0648934209766362,0.0042111560860509266,44,2,3,2,0.17901545504293648,0.8662832656731925,65.5,4.0
69,0.08264712119212445,0.0068305466413457055,9,2,3,3,0.7376955804571687,-0.4856720821705629,41.5,4.0
70,0.06995548315357625,0.00489376962325029,20,2,3,2,0.9039536203008794,-0.338109338819193,59.5,4.0
71,0.08634046013076084,0.007454675055591502,7,2,3,4,-0.1539932934344924,0.9551139091553554,33.5,4.0
72,0.16973208260601963,0.02880897986577667,3,1,3,2,0.659404250081595,0.6850170044051094,69.5,2.0
73,0.17609761745094138,0.031010370871898094,3,1,3,2,-0.7626617821496107,0.6968412192762417,70.5,2.0
74,0.20537307712888533,0.04217810080938708,3,1,3,3,0.28153087373664215,0.9738394534552773,71.5,2.0
75,0.04642753975976221,0.002155516448144301,13,3,3,2,-0.6757416641479026,0.7503896406100818,5.5,6.0
76,0.0309875137477364,0.0009602260082661523,46,3,3,2,-0.9506669191762513,-0.002771646124769149,30.5,6.0
77,0.14750383642871712,0.021757381761189735,4,2,3,2,-0.8047147802042911,0.6107280075842668,28.5,4.0
78,0.030554367165881738,0.000933569352907512,26,4,3,2,0.8516267386013283,0.3791354846435422,14.5,8.0
79,0.06184293069030234,0.003824548076365539,17,2,3,2,-0.26566887336435396,-0.9416333865332244,52.5,4.0
80,0.10353105999812241,0.010718680384334822,9,2,3,2,0.8741932396704666,-0.1384568247730067,42.5,4.0
81,0.10808362361111233,0.011682069692908598,4,2,3,2,0.39348932649313234,0.8928797986177034,29.5,4.0
82,0.06386513974445887,0.0040787560745792605,6,3,3,2,0.7220192145427162,0.7288907332487999,19.5,6.0
83,0.06995548317056036,0.004893769625626553,20,2,3,2,-0.9928619519214367,-0.1747329984960108,60.5,4.0
84,0.11295872497285492,0.012759673547493078,10,2,3,3,0.5907252773348404,-0.7564800006829925,46.5,4.0
