node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.9000003227405423,0.8100005809330804,9,2,10,9,-1.0,-8.742277657347586e-08,0.5,4.0
1,0.9000003231054068,0.8100005815898366,9,2,10,9,-0.8090169429779053,-0.5877853035926819,1.5,4.0
2,0.9000003230042933,0.8100005814078324,9,2,10,9,-0.3090171217918396,-0.9510564804077148,2.5,4.0
3,0.9000003230110368,0.8100005814199707,9,2,10,9,0.3090171217918396,-0.9510564804077148,3.5,4.0
4,0.9000003230103362,0.8100005814187095,9,2,10,9,0.8090172410011292,-0.5877849459648132,4.5,4.0
5,0.9000003227824388,0.810000581008494,9,2,10,9,1.0,1.7484555314695172e-07,5.5,4.0
6,0.9000003226965306,0.8100005808538593,9,2,10,9,0.80901700258255,0.5877852439880371,6.5,4.0
7,0.900000322735081,0.81000058092325,9,2,10,9,0.30901679396629333,0.9510565996170044,7.5,4.0
8,0.9000003228188657,0.8100005810740624,9,2,10,9,-0.3090174198150635,0.9510563611984253,8.5,4.0
9,0.998913239557313,0.9978276601628858,10,1,10,10,-0.8090168237686157,0.5877854824066162,4.5,2.0
10,1.0,1.0,-1,0,10,10,2.0,-8.742277657347586e-08,9.0,0.0
11,0.9011920221795533,0.8121470608400725,10,1,10,9,2.1909830570220947,-0.5877853035926819,9.5,2.0
12,0.9011920220624822,0.8121470606290654,10,1,10,9,2.6909828782081604,-0.9510564804077148,10.5,2.0
13,0.9011920221615936,0.8121470608077022,10,1,10,9,3.3090171217918396,-0.9510564804077148,11.5,2.0
14,0.9011920221463906,0.8121470607803005,10,1,10,9,3.809017241001129,-0.5877849459648132,12.5,2.0
15,0.9011920221529999,0.812147060792213,10,1,10,9,4.0,1.7484555314695172e-07,13.5,2.0
16,0.9011920221048222,0.8121470607053783,10,1,10,9,3.80901700258255,0.5877852439880371,14.5,2.0
17,0.9011920221164991,0.8121470607264245,10,1,10,9,3.3090167939662933,0.9510565996170044,15.5,2.0
18,0.9011920221389301,0.812147060766854,10,1,10,9,2.6909825801849365,0.9510563611984253,16.5,2.0
19,0.9011920220981405,0.8121470606933354,10,1,10,9,2.1909831762313843,0.5877854824066162,17.5,2.0
