node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.07230447927059613,0.005227937722592066,3,4,15,2,2.15,0.0,1.5,8.0
1,0.09361862077884206,0.008764446156532638,3,4,15,3,1.9749999999999999,0.3031088913245535,2.5,8.0
2,0.08629386166472397,0.007446630561010517,3,4,15,3,1.625,0.30310889132455354,3.5,8.0
3,0.2018890104091061,0.04075917252396815,9,3,15,5,1.4499999999999997,4.286263797015736e-17,3.0,6.0
4,0.05386745286236132,0.0029017024778787183,20,3,15,2,1.6249999999999996,-0.30310889132455343,15.5,6.0
5,0.09084771636025238,0.008253307567872868,3,4,15,3,1.9749999999999999,-0.3031088913245535,4.5,8.0
6,0.24617193449947572,0.06060062133521416,9,3,15,3,0.3500000000000001,1.7999999999999998,5.5,6.0
7,0.24617192318630626,0.06060061576524467,9,3,15,3,0.17500000000000013,2.1031088913245535,6.5,6.0
8,0.3325300484883699,0.11057623314767766,9,3,15,5,-0.17499999999999982,2.1031088913245535,8.0,6.0
9,0.4743166645578514,0.2249762982772853,13,2,15,5,-0.34999999999999987,1.7999999999999998,5.0,4.0
10,0.18982135974785813,0.036032148616525775,8,4,15,3,-0.17500000000000004,1.4968911086754464,7.5,8.0
11,0.18982135891272828,0.036032148299474806,8,4,15,3,0.17500000000000013,1.4968911086754464,8.5,8.0
12,0.6609122582616571,0.43680501312052333,15,1,15,3,-1.4499999999999997,2.2043642384652356e-16,0.5,2.0
13,0.8935871123501936,0.7984979273583576,15,1,15,5,-1.6249999999999998,0.3031088913245537,5.0,2.0
14,0.8379069468418244,0.702088051565788,15,1,15,4,-1.9749999999999996,0.30310889132455376,9.5,2.0
15,1.0,1.0,-1,0,15,6,-2.15,2.632990618166809e-16,8.0,0.0
16,0.4677062911693797,0.21874917479941655,15,1,15,2,-1.975,-0.3031088913245532,10.5,2.0
17,0.8379069170597956,0.7020880016566512,15,1,15,4,-1.6249999999999998,-0.30310889132455326,11.5,2.0
18,0.14392899506448875,0.020715555620273628,23,2,15,3,0.34999999999999964,-1.7999999999999998,12.5,4.0
19,0.14392899800391915,0.020715556466412162,23,2,15,3,0.17499999999999968,-1.4968911086754464,14.0,4.0
20,0.13179750916193533,0.017370583421290428,23,2,15,3,-0.17500000000000027,-1.4968911086754462,15.5,4.0
21,0.10298381093125238,0.010605665313923936,19,3,15,3,-0.3500000000000003,-1.7999999999999998,13.5,6.0
22,0.12908921939077647,0.01666402656292002,19,3,15,4,-0.1750000000000005,-2.1031088913245535,14.5,6.0
23,0.3506475935904634,0.12295373489078278,15,1,15,4,0.17499999999999968,-2.1031088913245535,14.0,2.0
