node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.2506743728164278,0.06283764118690943,1,4,12,2,0,0,1.5,8.0
1,0.4268352998188133,0.18218837317141623,6,3,12,3,1,0,1.5,6.0
2,0.5006453171662307,0.25064573360047576,7,2,12,3,2,0,0.5,4.0
3,0.42740364998897823,0.182673880023901,8,3,12,3,3,0,6.5,6.0
4,0.25084157690141223,0.06292149670238711,9,4,12,2,4,0,7.5,8.0
5,0.42587503522161824,0.18136954562501456,6,3,12,3,0,-1,2.5,6.0
6,0.7506439104815114,0.5634662803429752,7,2,12,4,1,-1,2.0,4.0
7,0.8532935144239155,0.7281098217579169,12,1,12,4,2,-1,1.5,2.0
8,0.750934145966159,0.5639020915779247,13,2,12,4,3,-1,7.0,4.0
9,0.42792729282631725,0.18312176794566068,8,3,12,3,4,-1,7.5,6.0
10,0.49975787958052775,0.24975793820282527,11,2,12,3,0,-2,3.5,4.0
11,0.8513132123137157,0.7247341854598975,12,1,12,4,1,-2,4.5,2.0
12,1.0,1.0,-1,0,12,4,2,-2,6.0,0.0
13,0.8543758632104314,0.7299581156365698,12,1,12,4,3,-2,8.5,2.0
14,0.5011674689747129,0.2511688319585198,13,2,12,3,4,-2,8.5,4.0
15,0.4252077173170097,0.18080160286594202,16,3,12,3,0,-3,4.5,6.0
16,0.7481457026636597,0.559721992414101,11,2,12,4,1,-3,5.0,4.0
17,0.851132711691728,0.7244268929117141,12,1,12,4,2,-3,11.5,2.0
18,0.7492941638761196,0.5614417440188132,13,2,12,4,3,-3,10.0,4.0
19,0.4265298774584719,0.18192773636473902,18,3,12,3,4,-3,9.5,6.0
20,0.24915152676724234,0.062076483290447876,15,4,12,2,0,-4,4.5,8.0
21,0.42468784518689073,0.18035976584948446,16,3,12,3,1,-4,5.5,6.0
22,0.4986513665776143,0.24865318538972225,17,2,12,3,2,-4,11.5,4.0
23,0.4258554749252159,0.1813528855237812,18,3,12,3,3,-4,10.5,6.0
24,0.2497729164070942,0.06238650977050527,19,4,12,2,4,-4,9.5,8.0
