node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.9886972251575424,0.9775222030342242,9,1,9,9,-1.0,-8.742277657347586e-08,0.5,2.0
1,0.9886440302127274,0.9774170184752643,9,1,9,9,-0.8090169429779053,-0.5877853035926819,1.5,2.0
2,0.9886442335245477,0.9774174204813404,9,1,9,9,-0.3090171217918396,-0.9510564804077148,2.5,2.0
3,0.9886434441840021,0.977415859728006,9,1,9,9,0.3090171217918396,-0.9510564804077148,3.5,2.0
4,0.9886442122277742,0.9774173783714762,9,1,9,9,0.8090172410011292,-0.5877849459648132,4.5,2.0
5,0.9886445246598122,0.977417996139826,9,1,9,9,1.0,1.7484555314695172e-07,5.5,2.0
6,0.9887489627766308,0.9776245113918632,9,1,9,9,0.80901700258255,0.5877852439880371,6.5,2.0
7,0.9886443224328637,0.9774175962787361,9,1,9,9,0.30901679396629333,0.9510565996170044,7.5,2.0
8,0.9886443904035195,0.9774177306763466,9,1,9,9,-0.3090174198150635,0.9510563611984253,8.5,2.0
9,1.0,1.0,-1,0,9,10,-0.8090168237686157,0.5877854824066162,5.0,0.0
10,0.11239480239836133,0.01263259160616669,9,1,9,2,1.5,0.0,9.5,2.0
11,0.012635149226343203,0.00015964699597196123,10,2,9,2,2.1,0.0,9.5,4.0
12,0.0014209117512383764,2.0189902048073097e-06,11,3,9,2,2.7,0.0,9.5,6.0
13,0.00015975170181814865,2.552060623379468e-08,12,4,9,2,3.3,0.0,9.5,8.0
14,1.7969696652214594e-05,3.229099977726124e-10,13,5,9,2,3.9,0.0,9.5,10.0
15,2.020897718418096e-06,4.084027588307466e-12,14,6,9,2,4.5,0.0,9.5,12.0
16,2.274374118872156e-07,5.1727776325954954e-14,15,7,9,2,5.1,0.0,9.5,14.0
17,2.5590054716448336e-08,6.548509003908198e-16,16,8,9,2,5.7,0.0,9.5,16.0
18,2.8784579027396794e-09,8.285519897844513e-18,17,9,9,2,6.3,0.0,9.5,18.0
19,3.199008278719828e-10,1.0233653967317995e-19,18,10,9,1,6.8999999999999995,0.0,9.5,20.0
