u,v
0,3
0,4
0,5
0,6
0,7
0,8
0,11
0,12
0,17
0,18
1,2
1,3
1,4
1,6
1,8
1,10
1,14
1,15
1,16
1,17
1,18
1,19
2,3
2,4
2,8
2,11
2,14
2,16
2,17
2,19
3,8
3,10
3,12
3,16
3,18
4,6
4,7
4,8
4,9
4,11
4,19
5,7
5,8
5,13
5,15
5,17
6,7
6,10
6,11
6,13
6,14
6,16
6,17
6,18
6,19
7,9
7,11
7,13
7,17
7,18
8,11
8,12
8,18
9,11
9,12
9,13
9,14
9,15
9,18
10,11
10,13
10,15
10,17
10,18
10,19
11,15
11,16
11,19
12,13
12,15
12,17
13,15
13,19
14,15
14,16
14,18
14,19
15,17
15,19
16,17
16,19
17,18
18,19
