snapshot,label,hub,node,parent
0,before,10,0,10
0,before,10,1,14
0,before,10,2,10
0,before,10,3,10
0,before,10,4,14
0,before,10,5,10
0,before,10,6,10
0,before,10,7,10
0,before,10,8,3
0,before,10,9,14
0,before,10,10,-1
0,before,10,11,5
0,before,10,12,14
0,before,10,13,10
0,before,10,14,10
0,before,10,15,10
0,before,10,16,10
0,before,10,17,14
0,before,10,18,14
0,before,10,19,10
1,after,14,0,5
1,after,14,1,14
1,after,14,2,14
1,after,14,3,14
1,after,14,4,14
1,after,14,5,1
1,after,14,6,14
1,after,14,7,14
1,after,14,8,11
1,after,14,9,14
1,after,14,10,-1
1,after,14,11,5
1,after,14,12,14
1,after,14,13,5
1,after,14,14,-1
1,after,14,15,5
1,after,14,16,14
1,after,14,17,14
1,after,14,18,14
1,after,14,19,16
2,before,14,0,5
2,before,14,1,14
2,before,14,2,14
2,before,14,3,14
2,before,14,4,14
2,before,14,5,1
2,before,14,6,14
2,before,14,7,14
2,before,14,8,11
2,before,14,9,14
2,before,14,10,-1
2,before,14,11,5
2,before,14,12,14
2,before,14,13,5
2,before,14,14,-1
2,before,14,15,5
2,before,14,16,14
2,before,14,17,14
2,before,14,18,14
2,before,14,19,16
3,after,5,0,5
3,after,5,1,5
3,after,5,2,5
3,after,5,3,5
3,after,5,4,5
3,after,5,5,-1
3,after,5,6,13
3,after,5,7,5
3,after,5,8,11
3,after,5,9,16
3,after,5,10,-1
3,after,5,11,5
3,after,5,12,11
3,after,5,13,5
3,after,5,14,-1
3,after,5,15,5
3,after,5,16,5
3,after,5,17,11
3,after,5,18,13
3,after,5,19,3
4,before,5,0,5
4,before,5,1,5
4,before,5,2,5
4,before,5,3,5
4,before,5,4,5
4,before,5,5,-1
4,before,5,6,13
4,before,5,7,5
4,before,5,8,11
4,before,5,9,16
4,before,5,10,-1
4,before,5,11,5
4,before,5,12,11
4,before,5,13,5
4,before,5,14,-1
4,before,5,15,5
4,before,5,16,5
4,before,5,17,11
4,before,5,18,13
4,before,5,19,3
5,after,11,0,11
5,after,11,1,6
5,after,11,2,11
5,after,11,3,11
5,after,11,4,19
5,after,11,5,-1
5,after,11,6,0
5,after,11,7,11
5,after,11,8,11
5,after,11,9,19
5,after,11,10,-1
5,after,11,11,-1
5,after,11,12,11
5,after,11,13,11
5,after,11,14,-1
5,after,11,15,11
5,after,11,16,19
5,after,11,17,11
5,after,11,18,6
5,after,11,19,6
