snapshot,label,hub,node,parent
0,before,10,0,10
0,before,10,1,14
0,before,10,2,10
0,before,10,3,10
0,before,10,4,14
0,before,10,5,10
0,before,10,6,10
0,before,10,7,10
0,before,10,8,3
0,before,10,9,14
0,before,10,10,-1
0,before,10,11,5
0,before,10,12,14
0,before,10,13,10
0,before,10,14,10
0,before,10,15,10
0,before,10,16,10
0,before,10,17,14
0,before,10,18,14
0,before,10,19,10
1,after,14,0,1
1,after,14,1,14
1,after,14,2,14
1,after,14,3,14
1,after,14,4,14
1,after,14,5,1
1,after,14,6,14
1,after,14,7,14
1,after,14,8,3
1,after,14,9,14
1,after,14,10,-1
1,after,14,11,5
1,after,14,12,14
1,after,14,13,1
1,after,14,14,-1
1,after,14,15,6
1,after,14,16,14
1,after,14,17,14
1,after,14,18,14
1,after,14,19,2
2,before,14,0,1
2,before,14,1,14
2,before,14,2,14
2,before,14,3,14
2,before,14,4,14
2,before,14,5,1
2,before,14,6,14
2,before,14,7,14
2,before,14,8,3
2,before,14,9,14
2,before,14,10,-1
2,before,14,11,5
2,before,14,12,14
2,before,14,13,1
2,before,14,14,-1
2,before,14,15,6
2,before,14,16,14
2,before,14,17,14
2,before,14,18,14
2,before,14,19,2
3,after,6,0,6
3,after,6,1,6
3,after,6,2,6
3,after,6,3,6
3,after,6,4,3
3,after,6,5,1
3,after,6,6,-1
3,after,6,7,0
3,after,6,8,3
3,after,6,9,1
3,after,6,10,-1
3,after,6,11,5
3,after,6,12,6
3,after,6,13,1
3,after,6,14,-1
3,after,6,15,6
3,after,6,16,2
3,after,6,17,0
3,after,6,18,6
3,after,6,19,2
4,before,6,0,6
4,before,6,1,6
4,before,6,2,6
4,before,6,3,6
4,before,6,4,3
4,before,6,5,1
4,before,6,6,-1
4,before,6,7,0
4,before,6,8,3
4,before,6,9,1
4,before,6,10,-1
4,before,6,11,5
4,before,6,12,6
4,before,6,13,1
4,before,6,14,-1
4,before,6,15,6
4,before,6,16,2
4,before,6,17,0
4,before,6,18,6
4,before,6,19,2
5,after,3,0,3
5,after,3,1,0
5,after,3,2,5
5,after,3,3,-1
5,after,3,4,3
5,after,3,5,3
5,after,3,6,-1
5,after,3,7,0
5,after,3,8,3
5,after,3,9,1
5,after,3,10,-1
5,after,3,11,3
5,after,3,12,11
5,after,3,13,1
5,after,3,14,-1
5,after,3,15,5
5,after,3,16,2
5,after,3,17,0
5,after,3,18,4
5,after,3,19,2
