src,dst,is_tree_edge
0,1,1
0,2,0
0,3,1
0,4,0
0,5,0
0,8,1
0,9,0
0,13,1
0,21,1
0,23,1
0,27,1
0,28,0
0,29,1
0,44,0
0,45,1
0,65,1
0,95,1
2,3,1
3,4,1
3,5,1
3,7,1
3,9,1
3,10,1
3,11,1
3,12,1
3,15,1
3,17,1
3,18,1
3,20,1
3,28,1
3,33,1
3,41,1
3,44,1
3,49,1
3,58,1
3,62,1
3,72,1
3,73,1
3,74,1
3,89,1
3,93,1
3,96,1
4,6,1
4,8,0
4,10,0
4,20,0
4,22,1
4,23,0
4,32,1
4,33,0
4,34,1
4,36,1
4,38,1
4,48,1
4,63,1
4,77,1
4,81,1
5,6,0
5,46,1
6,7,0
6,12,0
6,14,0
6,26,1
6,30,1
6,39,1
6,56,1
6,61,1
6,77,0
6,82,1
6,84,0
7,16,0
7,32,0
7,39,0
7,46,0
7,47,1
7,71,1
8,16,1
8,18,0
8,19,1
8,34,0
8,99,1
9,14,1
9,25,1
9,29,0
9,36,0
9,43,1
9,59,1
9,64,1
9,69,1
9,80,1
9,87,1
9,88,1
9,95,0
10,11,0
10,15,0
10,37,1
10,38,0
10,84,1
10,85,1
11,17,0
11,48,0
11,53,0
11,99,0
12,13,0
12,25,0
12,26,0
12,74,0
13,42,0
13,43,0
13,63,0
13,75,1
13,79,0
14,22,0
14,40,1
14,70,0
14,72,0
14,83,0
14,90,1
14,97,1
15,54,0
16,66,0
16,76,0
17,24,1
17,65,0
17,73,0
17,79,1
18,19,0
18,31,1
18,45,0
18,47,0
18,51,1
18,54,1
19,21,0
19,35,0
19,52,1
19,57,1
19,75,0
19,91,0
19,94,0
20,35,1
20,42,1
20,53,1
20,70,1
20,83,1
20,92,1
21,24,0
22,61,0
22,97,0
23,68,0
23,94,1
24,27,0
24,51,0
24,60,1
25,78,0
26,40,0
26,78,1
26,90,0
27,30,0
27,31,0
27,67,0
27,71,0
27,91,1
28,56,0
28,64,0
28,80,0
30,57,0
33,58,0
35,52,0
36,37,0
36,50,1
36,66,1
36,88,0
38,41,0
39,55,1
39,62,0
40,86,0
44,68,1
45,50,0
45,98,1
46,49,0
46,59,0
46,76,1
46,86,1
47,92,0
49,67,1
52,60,0
54,55,0
56,69,0
57,87,0
61,89,0
69,98,0
71,81,0
71,82,0
74,93,0
84,85,0
88,96,0
