node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.7285503732318371,0.5307856463362491,3,1,3,8,0.11297914700820971,-0.14390333591016505,2.0,2.0
1,0.14951796243827034,0.02235562109169202,0,2,3,1,0.4632965585560866,-0.7413635649331397,0.5,4.0
2,0.3547446253731983,0.1258437492311708,3,1,3,2,-0.6731436740551934,-0.4992284959417629,4.5,2.0
3,1.0,1.0,-1,0,3,12,-0.12410899025142595,0.20043805151595834,7.5,0.0
4,0.6098458016759503,0.37191190182178246,3,1,3,5,0.5494925198086087,-0.24282832062785883,5.5,2.0
5,0.4321873028777252,0.18678586476872258,3,1,3,3,0.8839311706803783,-0.27620455182046955,6.5,2.0
6,0.3773519316290822,0.14239448030419954,4,2,3,5,0.16594724837865193,0.15288898211186164,5.5,4.0
7,0.312690394239533,0.09777528264967457,3,1,3,3,-0.6209301679749819,-0.8630069932408533,7.5,2.0
8,0.4000942995509298,0.16007544853314915,0,2,3,5,-0.2267429686250755,0.001086417312735445,2.0,4.0
9,0.38693484334435024,0.14971857299391686,3,1,3,3,0.4148952945200876,0.6809069285320943,8.5,2.0
10,0.4655753732978656,0.2167604282214469,3,1,3,4,0.6401835359395972,0.6256364441741764,9.5,2.0
11,0.3579701064041112,0.1281425970789707,3,1,3,3,-0.20238652339507898,0.8591640454882279,10.5,2.0
12,0.3271325775559927,0.10701572329842757,3,1,3,3,-0.8904905731094723,-0.09955958041473803,11.5,2.0
13,0.21665429046589202,0.04693908157727911,0,2,3,2,-0.6094826883923133,0.8045690558322215,3.5,4.0
14,0.1568520247440002,0.024602557666292452,9,2,3,2,0.26705620091666427,-0.7750330170070036,8.5,4.0
15,0.300775143626033,0.0904656870232608,3,1,3,2,-0.6800785522808719,0.622487067874254,12.5,2.0
16,0.14628242514551423,0.021398547906452976,8,3,3,2,-0.27689946876360777,-0.8068904190516768,1.5,6.0
17,0.27869167392783595,0.07766904911669924,3,1,3,2,-0.9475195109921802,0.14474494335984017,13.5,2.0
18,0.31756295766335163,0.10084623207989565,3,1,3,3,0.754001442031918,0.3098426930981818,14.5,2.0
19,0.14728240495016104,0.02169210680790322,8,3,3,2,0.9999999999999999,0.046253649648115555,2.5,6.0
