node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.9010126742431628,0.8118238391468158,9,2,10,9,-1.0,-8.742277657347586e-08,0.5,4.0
1,0.901012674297134,0.8118238392440734,9,2,10,9,-0.8090169429779053,-0.5877853035926819,1.5,4.0
2,0.9010126741907889,0.8118238390524367,9,2,10,9,-0.3090171217918396,-0.9510564804077148,2.5,4.0
3,0.9010126742601923,0.8118238391775033,9,2,10,9,0.3090171217918396,-0.9510564804077148,3.5,4.0
4,0.9010126743838771,0.8118238394003866,9,2,10,9,0.8090172410011292,-0.5877849459648132,4.5,4.0
5,0.9010126743379583,0.8118238393176397,9,2,10,9,1.0,1.7484555314695172e-07,5.5,4.0
6,0.901012674288097,0.8118238392277883,9,2,10,9,0.80901700258255,0.5877852439880371,6.5,4.0
7,0.9010126743641005,0.8118238393647486,9,2,10,9,0.30901679396629333,0.9510565996170044,7.5,4.0
8,0.9010126743550102,0.8118238393483677,9,2,10,9,-0.3090174198150635,0.9510563611984253,8.5,4.0
9,0.999926786316792,0.9998535779938273,10,1,10,10,-0.8090168237686157,0.5877854824066162,4.5,2.0
10,1.0,1.0,-1,0,10,10,2.0,-8.742277657347586e-08,9.0,0.0
11,0.9010929602013376,0.8119685229244094,10,1,10,9,2.1909830570220947,-0.5877853035926819,9.5,2.0
12,0.9010929603517599,0.8119685231954983,10,1,10,9,2.6909828782081604,-0.9510564804077148,10.5,2.0
13,0.9010929603033266,0.8119685231082125,10,1,10,9,3.3090171217918396,-0.9510564804077148,11.5,2.0
14,0.9010929603562737,0.8119685232036331,10,1,10,9,3.809017241001129,-0.5877849459648132,12.5,2.0
15,0.9010929603280926,0.8119685231528455,10,1,10,9,4.0,1.7484555314695172e-07,13.5,2.0
16,0.9010929602896994,0.8119685230836539,10,1,10,9,3.80901700258255,0.5877852439880371,14.5,2.0
17,0.9010929602859471,0.8119685230768914,10,1,10,9,3.3090167939662933,0.9510565996170044,15.5,2.0
18,0.9010929602855325,0.8119685230761443,10,1,10,9,2.6909825801849365,0.9510563611984253,16.5,2.0
19,0.9010929602934458,0.8119685230904055,10,1,10,9,2.1909831762313843,0.5877854824066162,17.5,2.0
