node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.28457760263690407,0.08098441192256767,1,4,4,1,0,0,0.5,8.0
1,0.5455061754633175,0.2975769874686157,2,3,4,2,1,0,0.5,6.0
2,0.7633915265499112,0.5827666228082037,3,2,4,2,2,0,0.5,4.0
3,0.9179977750390985,0.8427199149767354,4,1,4,2,3,0,0.5,2.0
4,1.0,1.0,-1,0,4,2,4,0,1.0,0.0
5,0.9990624517713039,0.998125782539289,4,1,4,2,5,0,1.5,2.0
6,0.9191158962465135,0.8447740307330317,5,2,4,2,6,0,1.5,4.0
7,0.7628280507094668,0.5819066349492048,6,3,4,2,7,0,1.5,6.0
8,0.5463317657321658,0.2984783982480261,7,4,4,2,8,0,1.5,8.0
9,0.2843890624649152,0.08087713884967343,8,5,4,1,9,0,1.5,10.0
