node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,1.0,1.0,-1,0,0,2,1.0,0.0,0.5,0.0
1,1.0,1.0,-1,-1,1,2,0.8090169943749475,0.5877852522924731,3.5,-2.0
2,1.0,1.0,-1,-1,2,2,0.30901699437494745,0.9510565162951535,6.5,-2.0
3,1.0,1.0,-1,-1,3,2,-0.30901699437494734,0.9510565162951536,9.5,-2.0
4,1.0,1.0,-1,-1,4,2,-0.8090169943749473,0.5877852522924732,12.5,-2.0
5,1.0,1.0,-1,-1,5,2,-1.0,1.2246467991473532e-16,15.5,-2.0
6,1.0,1.0,-1,-1,6,2,-0.8090169943749475,-0.587785252292473,18.5,-2.0
7,1.0,1.0,-1,-1,7,2,-0.30901699437494756,-0.9510565162951535,21.5,-2.0
8,1.0,1.0,-1,-1,8,2,0.30901699437494723,-0.9510565162951536,24.5,-2.0
9,1.0,1.0,-1,-1,9,2,0.8090169943749473,-0.5877852522924734,27.5,-2.0
