src,dst,is_tree_edge
0,14,0
0,23,0
0,24,1
0,50,0
0,51,0
0,57,0
0,74,0
0,78,0
0,83,0
0,87,0
0,89,0
0,93,0
1,10,0
1,14,0
1,22,0
1,24,1
1,26,0
1,32,0
1,61,0
1,65,0
1,84,0
2,5,0
2,14,1
2,18,1
2,20,0
2,21,0
2,26,1
2,31,0
2,38,0
2,42,1
2,44,0
2,48,1
2,49,0
2,52,1
2,67,1
2,76,1
2,79,0
2,86,0
3,7,0
3,9,0
3,16,0
3,20,0
3,23,0
3,50,0
3,52,0
3,61,0
3,63,0
3,68,0
3,81,0
3,83,0
3,86,1
3,93,0
4,14,0
4,15,0
4,20,0
4,32,0
4,35,0
4,39,0
4,53,0
4,64,0
4,69,0
4,74,1
5,6,1
5,10,1
5,12,1
5,16,1
5,20,1
5,25,1
5,41,0
5,44,1
5,55,1
5,63,1
5,73,0
5,74,0
5,84,1
5,87,1
5,88,1
5,91,1
5,94,1
6,10,0
6,41,0
6,42,0
6,51,0
6,54,0
6,58,0
6,68,1
6,70,0
6,77,0
6,79,0
6,84,0
6,88,0
7,10,0
7,12,0
7,19,0
7,24,1
7,31,0
7,32,0
7,64,0
7,67,1
7,80,0
7,88,0
7,90,0
8,18,0
8,26,0
8,28,0
8,33,0
8,52,0
8,67,1
8,73,0
8,84,0
8,89,0
9,18,0
9,25,1
9,44,0
9,47,0
9,61,0
9,71,0
9,78,0
9,93,0
10,34,0
10,40,0
10,58,0
10,77,0
11,14,0
11,18,0
11,21,1
11,27,0
11,40,0
11,61,0
11,92,0
11,99,0
12,13,1
12,14,0
12,26,0
12,27,1
12,35,0
12,51,0
12,53,0
12,56,0
12,58,1
12,73,0
12,82,0
12,84,0
12,94,0
12,95,1
12,98,0
13,14,0
13,38,0
13,39,0
13,47,0
13,59,0
13,71,0
13,77,0
13,79,0
13,80,0
13,85,0
13,98,0
13,99,0
14,19,0
14,29,0
14,37,0
14,56,0
14,70,0
14,73,0
15,24,1
15,38,0
15,58,0
15,66,0
15,71,0
15,99,0
16,20,0
16,23,0
16,37,0
16,41,0
16,44,0
16,48,0
16,77,0
16,82,0
16,94,0
17,22,1
17,24,1
17,30,1
17,31,0
17,52,0
17,55,0
17,56,0
17,59,0
17,67,0
17,71,0
17,73,0
17,76,0
17,88,0
17,89,1
17,93,0
18,20,0
18,47,0
18,50,0
18,58,0
18,71,0
18,76,0
18,85,0
18,91,0
18,97,0
19,36,0
19,53,0
19,55,1
19,56,0
19,58,0
19,61,0
19,72,0
19,91,0
19,92,0
19,94,0
20,30,0
20,47,0
20,68,0
20,69,0
20,77,0
21,24,1
21,25,0
21,32,0
21,55,0
21,63,0
21,67,0
21,69,1
21,71,0
21,75,0
21,81,1
21,87,0
21,99,0
22,32,0
22,35,0
22,45,0
22,50,0
22,51,0
22,62,0
22,77,0
22,85,0
22,97,0
23,27,0
23,34,0
23,42,0
23,43,0
23,56,0
23,65,1
23,79,0
23,93,0
24,25,1
24,34,1
24,35,1
24,37,1
24,38,1
24,41,1
24,49,1
24,51,1
24,56,1
24,59,1
24,70,1
24,74,1
24,75,1
24,96,1
24,99,1
25,31,0
25,34,0
25,40,0
25,56,0
25,60,1
25,70,0
25,72,1
25,74,0
25,86,0
25,89,0
25,99,0
26,31,0
26,32,0
26,35,0
26,39,1
26,43,1
26,56,0
26,59,0
26,65,0
26,70,0
