node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.5406782969142017,0.2923330207540416,24,1,24,12,0.22878521983317066,0.4303146043769357,0.5,2.0
1,0.4844851931382509,0.23472590237020827,24,1,24,9,0.8408236444617824,0.1082717253682408,1.5,2.0
2,0.8742105533227209,0.7642440915408178,67,3,24,17,-0.23925653993537335,-0.15530104722142393,6.0,6.0
3,0.5630041680054121,0.3169736931914663,86,4,24,14,-0.19745632722079873,0.7487824400456012,27.5,8.0
4,0.3943210573436975,0.15548909626465157,74,2,24,10,0.9614284988719739,-0.2646359429757878,72.5,4.0
5,0.9081928252556966,0.8248142078459242,25,2,24,18,0.3323255282438482,0.20783283724060114,47.0,4.0
6,0.5722166196882188,0.32743185984741163,5,3,24,13,0.03934069827113766,0.9599291881565443,35.5,6.0
7,0.6209120190429305,0.38553173539196844,24,1,24,12,-0.8373401975500576,-0.5148873184245624,15.0,2.0
8,0.5010814072695384,0.25108257671122103,67,3,24,9,-0.9357493764423354,0.37597110988831134,10.5,6.0
9,0.40870215426494133,0.1670374509008039,25,2,24,9,0.5696545133195385,0.8137189940633851,59.5,4.0
10,0.38259300546614117,0.14637740783161474,5,3,24,8,0.8391979412445939,0.5913023407133975,36.5,6.0
11,0.3641217605177961,0.13258465648257925,21,2,24,8,-0.2625092371268265,0.8749575942457775,32.5,4.0
12,0.851549785585554,0.725137037330803,5,3,24,17,-0.4360640793910758,0.1583856003562733,39.0,6.0
13,0.6048752052082099,0.3658740138756741,12,4,24,13,-0.6614849171361981,0.5888503014747851,37.5,8.0
14,0.6066203778349241,0.367988282804586,2,4,24,13,0.17512680513131082,-0.14406137687927764,2.5,8.0
15,0.3493358033398758,0.12203550349511638,24,1,24,7,-0.5147449972875814,0.8005422894162445,28.5,2.0
16,0.46468549111124274,0.21593260564929687,5,3,24,11,-0.28327535404890497,0.3484947065332696,41.5,6.0
17,0.7886542449627916,0.6219755180978308,24,1,24,15,-0.9840582236054202,0.09640641666241491,30.5,2.0
18,0.5373814462608948,0.288778818785451,2,4,24,13,0.16385544038611607,0.237870590153893,3.5,8.0
19,0.49136515289950955,0.2414397134839584,55,4,24,12,0.8949549069631426,0.4471889137342204,44.5,8.0
20,0.45457410789600905,0.20663761956945248,5,3,24,11,-0.540305599361591,-0.1722406914195411,42.5,6.0
21,0.7243783863673829,0.5247240466362135,24,1,24,14,0.16140351682764448,-0.6406041574542307,33.5,2.0
22,0.4334617379817982,0.1878890782942011,17,2,24,11,0.26786963194050245,0.6094992943008317,29.5,4.0
23,0.47063809898342696,0.22150022021473398,65,5,24,11,-0.605114709116079,-0.7759122388172613,20.5,10.0
24,1.0,1.0,-1,0,24,21,0.03276579453812384,-0.06569114297355395,38.0,0.0
25,0.7630364375432286,0.5822246050186614,24,1,24,15,0.4329224469288568,-0.2173113654680578,48.5,2.0
26,0.7881388817608344,0.6211628969432185,2,4,24,16,0.7221740557906329,-0.6490621589874547,5.0,8.0
27,0.5194520150287494,0.2698303959174281,12,4,24,12,-0.8263729225378161,-0.4031873337961248,38.5,8.0
28,0.43635869502861335,0.1904089107270744,99,2,24,10,-0.04953997921934317,-0.40312883738521016,75.5,4.0
29,0.33914914271760355,0.11502214100608542,84,4,24,7,-0.3450690178839802,-0.84630207763993,46.5,8.0
30,0.30997572977821086,0.0960849530515344,17,2,24,7,-0.6895243921615126,-0.7249453452751824,30.5,4.0
31,0.7828833016724847,0.6129062640376106,67,3,24,15,0.009763443781207314,-0.5500024616343826,11.5,6.0
32,0.6099614035371218,0.37205291380497557,84,4,24,14,-0.30612622251875105,-0.33723592191525276,47.5,8.0
