src,dst,is_tree_edge
0,6,0
0,7,1
0,11,0
0,14,0
0,16,0
1,5,0
1,6,0
1,7,1
1,9,0
1,12,0
1,13,0
1,14,0
1,19,0
2,7,1
2,9,0
2,12,0
2,15,0
2,16,0
2,17,0
2,18,0
3,5,0
3,6,0
3,7,1
3,9,0
3,10,0
3,12,0
3,14,0
3,15,0
3,17,0
3,18,0
4,7,1
4,8,0
4,9,0
4,10,0
4,12,0
4,13,0
4,17,0
4,19,0
5,7,1
5,9,0
5,10,0
5,12,0
5,13,0
5,17,0
5,18,0
6,7,1
6,9,0
6,15,0
6,17,0
6,19,0
7,8,1
7,11,1
7,12,1
7,14,1
7,15,1
7,17,1
7,18,1
7,19,1
8,11,0
8,12,0
8,13,0
8,14,0
8,17,0
8,18,0
8,19,0
9,12,1
9,14,0
9,16,0
9,18,0
10,11,0
10,12,1
10,14,0
10,16,0
10,19,0
11,12,0
11,16,0
11,18,0
11,19,0
12,13,1
12,17,0
13,16,0
14,18,0
15,16,0
15,17,0
16,17,1
16,19,0
17,18,0
17,19,0
18,19,0
