node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.2507946395056223,0.06289795120475505,1,4,12,2,0,0,1.5,8.0
1,0.42623281896848075,0.18167441596581768,6,3,12,3,1,0,1.5,6.0
2,0.502160482381058,0.2521651500651769,7,2,12,3,2,0,0.5,4.0
3,0.42433996489996734,0.1800644058113055,8,3,12,3,3,0,3.5,6.0
4,0.2495284097557238,0.06226442727522039,3,4,12,2,4,0,3.5,8.0
5,0.4251765630381137,0.18077510975690306,6,3,12,3,0,-1,2.5,6.0
6,0.7526411504313262,0.5664687013225902,7,2,12,4,1,-1,2.0,4.0
7,0.8498849234711878,0.7223043831436268,12,1,12,4,2,-1,2.5,2.0
8,0.750599510869461,0.563399625717474,7,2,12,4,3,-1,4.0,4.0
9,0.422522654545604,0.1785253936042638,8,3,12,3,4,-1,4.5,6.0
10,0.49980389704741757,0.24980393550378557,11,2,12,3,0,-2,5.5,4.0
11,0.8477378920840375,0.7186595336750872,12,1,12,4,1,-2,6.5,2.0
12,1.0,1.0,-1,0,12,4,2,-2,6.0,0.0
13,0.8457947507954717,0.7153687604731741,12,1,12,4,3,-2,8.5,2.0
14,0.49821003469605873,0.24821323867184805,13,2,12,3,4,-2,8.5,4.0
15,0.4232863060450542,0.17917129688526728,16,3,12,3,0,-3,6.5,6.0
16,0.7490600371109838,0.5610909391967084,11,2,12,4,1,-3,7.0,4.0
17,0.8467251054075247,0.7169434041273838,12,1,12,4,2,-3,10.5,2.0
18,0.7458751357598077,0.5563297181447115,17,2,12,4,3,-3,10.0,4.0
19,0.42130028556228233,0.17749393061486063,18,3,12,3,4,-3,9.5,6.0
20,0.24946913911036073,0.06223485136846451,15,4,12,2,0,-4,6.5,8.0
21,0.42283321797986184,0.17878793022720535,16,3,12,3,1,-4,7.5,6.0
22,0.4980531375366821,0.2480569278101332,17,2,12,3,2,-4,11.5,4.0
23,0.42144159398333514,0.1776130171392143,18,3,12,3,3,-4,10.5,6.0
24,0.2484705542981019,0.061737616353206,23,4,12,2,4,-4,10.5,8.0
