node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,1.0,1.0,-1,0,0,19,0.009747697306361967,0.020192014582772762,9.5,0.0
1,0.23687789627288006,0.056111137742665324,0,1,0,1,0.3983590551441454,-0.7842546445154597,0.5,2.0
2,0.2368430538675185,0.05609463216529227,0,1,0,1,-0.6112280672322831,-0.556956516398655,1.5,2.0
3,0.23680977424374638,0.056078869177374126,0,1,0,1,-0.011917047938776402,0.9419932996629125,2.5,2.0
4,0.23677767108866588,0.05606366552617244,0,1,0,1,0.7318498713815584,-0.6991448255699616,3.5,2.0
5,0.23675309340634107,0.05605202723747166,0,1,0,1,0.8490142207866372,-0.4249642625094353,4.5,2.0
6,0.2367333835815199,0.05604269490195504,0,1,0,1,0.32349540219467565,0.9053184999374392,5.5,2.0
7,0.23671879078376737,0.056035785910129025,0,1,0,1,-0.5560758285403374,-0.8968873672756051,6.5,2.0
8,0.23671125570111562,0.056032218575598945,0,1,0,1,-0.960749578091599,0.29122633080082105,7.5,2.0
9,0.23671405166481432,0.05603354225557238,0,1,0,1,0.6618032279406205,0.7327672271662389,8.5,2.0
10,0.23674402666948524,0.05604773416368194,0,1,0,1,0.9229419768688744,0.46630077038049134,9.5,2.0
11,0.23676618682992887,0.05605822722598478,0,1,0,1,-0.30121489830144493,0.8418120831895273,10.5,2.0
12,0.23679299750395785,0.05607092366690939,0,1,0,1,-0.8556018870437512,-0.36786260266326937,11.5,2.0
13,0.23682664314792873,0.056086858904716375,0,1,0,1,-0.6012874646191024,0.8006091172674871,12.5,2.0
14,0.23686423662306547,0.05610466659102755,0,1,0,1,0.08840214009799262,-0.8990853245063879,13.5,2.0
15,0.23690071839964397,0.05612195037826741,0,1,0,1,-0.76506372879737,0.5235269626863038,14.5,2.0
16,0.23692229572371104,0.056132174210993584,0,1,0,1,-0.22539167513496655,-0.8160417535635475,15.5,2.0
17,0.23693633086875132,0.0561388248855464,0,1,0,1,-0.9838168847523997,-0.06354508590407719,16.5,2.0
18,0.23694012434894224,0.05614062252649221,0,1,0,1,0.8867334687311638,-0.12712971174532625,17.5,2.0
19,0.23693121537231066,0.056136400817800254,0,1,0,1,1.0,0.1121257889777314,18.5,2.0
